n/nm	Disp. Surf. En. (mJ/m^2) - Stz & Max	Disp. Surf. En. (mJ/m^2) - Stz & Com	Disp. Surf. En. (mJ/m^2) - DnG & Max	Disp. Surf. En. (mJ/m^2) - DnG & Com
0.005	51.0043731916846	107.985583426086	49.9305080492249	112.460100565857
0.0075	92.4687156016883	104.115423941315	96.4267859130453	108.461760612928
0.01	94.1986530097327	101.681854785933	98.1607140519186	105.917657489176
0.02	87.4882841996743	96.331533696451	91.1777578395669	100.354656332627
0.03	80.3775046315814	92.5682028009382	83.8105023008996	96.4408290826878
0.04	70.3802389034814	88.5894053852643	73.39806527769	92.3077502569408
0.05	59.2239928352406	84.3323995037498	61.7187308125371	87.8588825499918
0.06	49.6924635171926	78.1625530299518	51.7238414407228	81.4906646333815
0.07	45.6725625071173	74.3182476248196	47.634447014509	77.559304554454
0.08	41.3411324191401	70.3167020784365	43.0843609268847	73.2929715536813
0.09	34.7110308910748	50.8848432518612	36.2251508764819	53.2425921650773
0.1	20.2180109461961	49.8610266425636	21.2623851636658	49.1364198879995

