Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Com
Regression: Polynomial
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	100.874591681579	0.981752382619263	3.9753545768661	3.95110811170471	104.825699793284
0.0075	97.2522857340836	0.896321455235142	3.72538353405968	3.65466342666868	100.906949160752
0.01	96.353120695107	0.839362890295739	3.69511253012341	3.52223811418387	99.8753588092908
0.015	94.3522607092	0.795233984819407	3.45897124079025	3.3170417441988	97.6693024533988
0.02	90.2525739632683	0.738819470817329	3.48775968882719	3.21049825892326	93.4630722221915
0.025	85.7946548119381	0.679319469290567	3.17134510565658	2.9355452468745	88.7302000588126
0.03	84.0372678196346	0.660611826881261	3.3461637492083	2.97356038943778	87.0108282090723
0.035	79.4724082043315	0.609506981997347	3.15567461997466	2.77373806534531	82.2461462696768
0.04	76.7516792193816	0.589481288882623	2.94486051439755	2.63510164631774	79.3867808656993
0.045	73.5614134820367	0.562262887370501	3.09768723903702	2.63948068467395	76.2008941667106
0.05	71.8789022245966	0.526189846383629	2.99862889673986	2.51224845788553	74.3911506824822
0.055	66.5369605404943	0.469517255160717	2.61518706748166	2.21619083443263	68.7531513749269
0.06	63.799881761558	0.442320853624548	2.45241393965279	2.08303031876923	65.8829120803272
0.065	65.131243478304	0.471890800218593	2.69068069577733	2.25362593760641	67.3848694159104
0.07	62.3574427759778	0.451234278057658	2.59539427595606	2.16437599541855	64.5218187713964
0.075	57.9831310520489	0.407905326084742	2.4044678126408	1.98070212518239	59.9638331772313
0.08	53.7035642377287	0.362146311439067	1.8467206644111	1.63558317046218	55.3391474081909
0.085	52.428719578057	0.362995318156309	1.95193561625062	1.68350050791976	54.1122200859767
0.09	51.1720538518487	0.347197015486827	1.9396364079143	1.64126289418537	52.813316746034
0.095	50.1162516801531	0.333981138370444	1.92560010650767	1.60388792079457	51.7201396009476
0.1	48.8912451742481	0.321509258856839	1.89205065894824	1.55988692548921	50.4511320997373
0.12	47.1257360713718	0.307202149991226	1.92618104628415	1.53847581546262	48.6642118868344
0.14	45.5417194212797	0.296308662802122	1.90669958828734	1.50329186170986	47.0450112829895
0.16	45.0800637050652	0.300306941660259	1.91218488132331	1.51557565776069	46.5956393628259
0.18	44.8662570862995	0.298722870794875	1.96918914171847	1.53393850405059	46.4001955903501
0.2	43.5113001205453	0.279997982758171	2.07974009333055	1.52620186186998	45.0375019824153
