n/nm	Disp. Surf. En. (mJ/m^2) - Stz & Max	Disp. Surf. En. (mJ/m^2) - Stz & Com	Disp. Surf. En. (mJ/m^2) - DnG & Max	Disp. Surf. En. (mJ/m^2) - DnG & Com
0.005	89.6738707878872	98.9214464409219	93.4830527030013	102.946854400566
0.0075	89.3902897106548	98.5834459981787	93.1500040366392	102.623671484244
0.01	88.2093414181849	98.7975500238263	91.9005666488093	102.874282181781
0.015	83.3306183410003	97.3437966858892	86.8095493143541	101.392570506466
0.02	74.4943396974028	94.8235521773305	77.6265797911444	98.769962971845
0.025	63.7908527925553	92.3261737358689	66.4495140889006	96.1706663560392
0.03	52.101974111129	89.5922115935113	54.2736324303081	93.3281775817592
0.035	44.2741784964007	84.7892084415901	46.1362858997366	88.3512872053526
0.04	40.601214429554	81.8297145886168	42.2954665022223	85.3154541936275
0.045	38.0134897348585	77.5198942168765	39.5934385634896	80.74175450484
0.05	34.1205290169531	68.4281198252481	35.553260991632	71.3083482980871
0.055	33.7460650210908	57.378179386625	35.1691300821728	59.944502289739
0.06	34.0241073565392	55.5552991771463	35.4525338161232	58.0050035340261
0.065	34.5342921587021	48.1078844429627	35.9630481564592	50.2594855208121
0.07	36.9120807518663	43.2417830933597	38.4311256661724	45.2218400256819
0.075	37.8411812919602	41.9323483472085	39.3859658862556	43.7724937693823
0.08	39.5822427578731	37.7959322121405	41.2113410146276	39.5140834947078
0.085	41.4890770979472	37.024997659101	43.2196753587834	38.6863486407348
0.09	43.0939609598981	37.0183291056025	44.8846008948277	38.7271909377619
0.095	44.6722147727602	37.41675420794	46.5225528177098	39.1847128453548
0.1	46.24695682959	37.5352008369906	48.1630576867615	39.3104899635895
0.12	48.2114626378697	38.2681932360152	50.2643351285343	40.0099833696381
0.14	53.5201550233116	37.1966297394619	55.8074528181484	38.8273449400417
0.16	53.0634024274438	37.8339804554538	55.3736758329915	39.4749933078256
0.18	56.714489252225	39.9676570873643	59.1929430309847	41.7161551238301
0.2	60.531389799616	40.5509835045158	63.204889522146	42.2658555672168

