n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.005	NONANE	dG (kJ/Mol)					4167.56190936658	10981.8365088993	323.150671680157
0.005	OCTANE	dG (kJ/Mol)					915.274688977405	2204.87080462105	323.15182900062
0.005	HEPTANE	dG (kJ/Mol)					192.858533708704	507.460924767785	323.151185343816
0.005	HEXANE	dG (kJ/Mol)					45.1555711448395	90.0566860130123	323.15082896306
0.005	DICHLOROMETHANE	dG (kJ/Mol)	1.22033581752406	5.72374469726261	1.68610440201382	6.19786945878424	-2.11441951336887	9.25453547596714	323.149696960449
0.005	ETHYL ACETATE	dG (kJ/Mol)	8.6154205551506	10.0489719204831	6.79224030909729	8.12331695663213	44.9840481769587	140.03161442115	323.150517331637
0.0075	NONANE	dG (kJ/Mol)					3979.32639005626	10056.1850474307	323.150671680157
0.0075	OCTANE	dG (kJ/Mol)					848.589081277166	2062.6853084013	323.15182900062
0.0075	HEPTANE	dG (kJ/Mol)					184.663523373833	465.199423689081	323.151185343816
0.0075	HEXANE	dG (kJ/Mol)					43.0406760127833	83.718839880365	323.15082896306
0.0075	DICHLOROMETHANE	dG (kJ/Mol)	-4.64929921230845	5.14342402622063	-4.18767408871361	5.61920888553327	0.107785148260004	6.97377849693655	323.149696960449
0.0075	ETHYL ACETATE	dG (kJ/Mol)	8.37945563820792	9.80932111229497	6.55672531912775	7.8887250996248	39.401568720612	119.559272273763	323.150517331637
0.01	NONANE	dG (kJ/Mol)					3801.53905127149	9466.96354524547	323.150671680157
0.01	OCTANE	dG (kJ/Mol)					799.034590423855	1989.31486703863	323.15182900062
0.01	HEPTANE	dG (kJ/Mol)					177.922614158983	439.006968852606	323.151185343816
0.01	HEXANE	dG (kJ/Mol)					42.2101110783009	78.8761993581057	323.15082896306
0.01	DICHLOROMETHANE	dG (kJ/Mol)	3.60201517596875	4.2429689107747	4.05884182725863	4.72167838435859	2.32998980988888	4.69302151790595	323.149696960449
0.01	ETHYL ACETATE	dG (kJ/Mol)	8.10077703440617	9.5576486873287	6.28888374723507	7.63668979546176	35.3591029679247	102.555090602838	323.150517331637
0.015	NONANE	dG (kJ/Mol)					3326.9037547832	8617.25622833928	323.150671680157
0.015	OCTANE	dG (kJ/Mol)					699.179813924771	1861.6793933008	323.15182900062
0.015	HEPTANE	dG (kJ/Mol)					161.954497926748	404.403041253391	323.151185343816
0.015	HEXANE	dG (kJ/Mol)					41.9567975059982	74.9893672767556	323.15082896306
0.015	DICHLOROMETHANE	dG (kJ/Mol)	3.89362058714551	4.44121419780596	4.33680584032058	4.91916714495007	2.83993818002385	4.93858621936776	323.149696960449
0.015	ETHYL ACETATE	dG (kJ/Mol)	7.67105028177649	9.07969389722168	5.90938390439126	7.17490658437468	31.998376882874	83.226076870269	323.150517331637
0.02	NONANE	dG (kJ/Mol)					2574.71325665566	7791.35375129959	323.150671680157
0.02	OCTANE	dG (kJ/Mol)					565.868134085264	1694.4630871482	323.15182900062
0.02	HEPTANE	dG (kJ/Mol)					137.080572090099	373.296019847628	323.151185343816
0.02	HEXANE	dG (kJ/Mol)					41.6656170674527	72.2611487748612	323.15082896306
0.02	DICHLOROMETHANE	dG (kJ/Mol)	4.32235727725468	4.8409116029779	4.74350051669891	5.31282880180868	3.99502859128929	5.79061819836523	323.149696960449
0.02	ETHYL ACETATE	dG (kJ/Mol)	7.24937479391269	8.65388259622587	5.58523867993719	6.77405181097653	31.0334049719393	70.7511574314367	323.150517331637
0.025	NONANE	dG (kJ/Mol)					1825.11896391906	7112.1477550416	323.150671680157
0.025	OCTANE	dG (kJ/Mol)					415.671616435712	1502.11139114485	323.15182900062
0.025	HEPTANE	dG (kJ/Mol)					112.882541996235	332.712791116706	323.151185343816
0.025	HEXANE	dG (kJ/Mol)					40.095498549588	70.5239840789248	323.15082896306
0.025	DICHLOROMETHANE	dG (kJ/Mol)	4.18881004576809	4.88307137704434	4.57589960337426	5.34882834153407	4.744050400211	5.88791027888744	323.149696960449
0.025	ETHYL ACETATE	dG (kJ/Mol)	6.60639212340249	8.39366106437734	5.06456584150591	6.53881852143732	28.3779560821267	63.3656204116402	323.150517331637
0.03	NONANE	dG (kJ/Mol)					1239.29847122489	6434.10640859169	323.150671680157
0.03	OCTANE	dG (kJ/Mol)					311.72457970514	1332.33182658689	323.15182900062
0.03	HEPTANE	dG (kJ/Mol)					94.9001831439965	296.925653042949	323.151185343816
0.03	HEXANE	dG (kJ/Mol)					39.4642703781681	68.7095208170689	323.15082896306
0.03	DICHLOROMETHANE	dG (kJ/Mol)	4.01678015172393	5.00278774088911	4.36655952671608	5.46200145746499	6.0820808753198	6.20905177834984	323.149696960449
0.03	ETHYL ACETATE	dG (kJ/Mol)	5.88131540645264	8.18891369785436	4.48785375835796	6.36202953588809	27.1851379297757	58.2832299762614	323.150517331637
0.035	NONANE	dG (kJ/Mol)					875.319424513369	5440.97811789217	323.150671680157
0.035	OCTANE	dG (kJ/Mol)					253.812598937532	1215.99147187789	323.15182900062
0.035	HEPTANE	dG (kJ/Mol)					83.5105679724054	276.997392770938	323.151185343816
0.035	HEXANE	dG (kJ/Mol)					36.6570855704246	66.0991495092762	323.15082896306
0.035	DICHLOROMETHANE	dG (kJ/Mol)	2.42103627901479	4.19432782145372	2.74565773549786	4.64354785892995	4.09875733360345	5.00354200719517	323.149696960449
