"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
34,24.09217,50,50.00337,32,31.99853,32,32.00005,180,179.9496,52.17373,54.75149,229.3221,27.61225,2,1.99,10,9.98,10,10,0,0,0,0,0,0,0,0
35,20.02912,50,49.99885,32,32.00165,32,31.99931,180,179.9553,52.1536,54.73005,228.9781,27.65056,2,1.995,10,9.99,10,9.985,0,0,0,0,0,0,0,0
36,24.09217,50,50.00404,32,31.97235,32,32.0009,180,180.0021,52.18943,54.78131,229.3278,27.59775,2,1.965,10,9.97,10,9.97,0,0,0,0,0,0,0,0
37,19.80022,50,49.99981,32,31.98335,32,31.99804,180,180.004,52.18068,54.7477,228.966,27.62208,2,2.02,10,10.02,10,9.995,0,0,0,0,0,0,0,0
38,24.06356,50,49.99689,32,32.00211,32,31.99947,180,179.9904,52.22037,54.76764,229.3136,27.62402,2,2,10,9.995,10,9.995,0,0,0,0,0,0,0,0
39,19.94328,50,50.0013,32,32.0029,32,32.00055,180,179.9899,52.21742,54.77343,228.9642,27.59238,2,1.99,10,9.995,10,9.985,0,0,0,0,0,0,0,0
40,24.00633,50,49.99792,32,32.00285,32,32.00245,180,179.9719,52.1854,54.78594,229.3124,27.57619,2,1.99,10,9.98,10,9.965,0,0,0,0,0,0,0,0
41,20.14357,50,49.99867,32,32.00661,32,32.0014,180,179.9721,52.17699,54.77509,228.9018,27.61487,2,2,10,9.995,10,9.99,0,0,0,0,0,0,0,0
42,24.17801,50,49.99813,32,32.00062,32,32.00314,180,180.0358,52.24907,54.79274,229.1712,27.83745,2,2.02,10,9.995,10,9.995,0,0,0,0,0,0,0,0
43,20.2008,50,50.00675,32,32.00234,32,32.00295,180,180.0723,52.25919,54.80784,229.209,27.823,2,1.965,10,10.015,10,10.015,0,0,0,0,0,0,0,0
44,24.23524,50,50.00504,32,32.00434,32,32.00009,180,180.0172,52.35989,54.90083,229.2342,27.80405,2,2.015,10,9.995,10,10,0,0,0,0,0,0,0,0
45,20.05774,50,50.0017,32,32.0022,32,31.99982,180,180.0139,52.35589,54.89347,228.8398,27.80773,2,2.02,10,10,10,10,0,0,0,0,0,0,0,0
46,24.20662,50,50.00579,32,32.00745,32,32.00272,180,180.0298,52.42059,54.93071,229.2217,28.101,2,2.025,10,10.025,10,9.995,0,0,0,0,0,0,0,0
47,19.88606,50,50.00949,32,32.00726,32,32.00121,180,180.0079,52.41257,54.915,229.274,27.98799,2,2.015,10,10.015,10,9.995,0,0,0,0,0,0,0,0
48,24.43553,50,49.99333,32,31.99268,32,32.00117,180,179.6988,52.33004,54.9521,229.2192,28.02191,2,2.03,10,10.01,10,10.01,0,0,0,0,0,0,0,0
49,20.31525,50,49.99144,32,31.99264,32,31.99912,180,179.7002,52.32859,54.93289,228.8326,28.01379,2,2,10,9.99,10,10.005,0,0,0,0,0,0,0,0
