Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Com
Regression: Linear
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	116.585839714334	0.903326399239443	6.43273193530393	4.82114367194784	121.406983386282
0.0075	112.053001879623	0.866545991638233	6.06006144397116	4.58315260638553	116.636154486008
0.01	108.568427600045	0.839957817256215	5.80156554009618	4.41500637722215	112.983433977267
0.02	100.177791008776	0.781478451881448	5.33052944934153	4.08200632129833	104.259797330074
0.03	94.3461352332227	0.728524698466961	5.03763791860471	3.83147159490305	98.1776068281258
0.04	85.6581808625196	0.664755070114472	4.38863553447519	3.41606072687645	89.074241589396
0.05	77.8688795182763	0.597748691900762	3.7589585848126	2.99794101141491	80.8668205296912
0.06	72.4897226054652	0.541349145712585	3.50113868557566	2.75342581992518	75.2431484253904
0.07	71.6035670050262	0.546511170050643	3.59853987953586	2.80474044434707	74.4083074493733
0.08	65.5171348370202	0.492410221650346	2.93228782437313	2.40323823000732	67.9203730670275
0.09	55.7055507553209	0.390853420987763	2.0275189989027	1.78040752283156	57.4859582781524
0.1	42.9395661306908	0.288088320515423	1.06683686480009	1.10877092430167	44.0483370549925
