Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Com
Regression: Polynomial
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	72.1900129702905	1.30397582175891	6.98725320614439	6.03695593534347	78.226968905634
0.0075	71.7054131963621	1.25256519702871	6.64508928125938	5.77006328036497	77.4754764767271
0.01	71.5585534217992	1.19924614381164	6.33399659723649	5.51217597474968	77.0707293965489
0.015	69.254926724575	1.06467684129318	5.8704768616451	5.0000643043629	74.2549910289379
0.02	66.3992097659014	0.944405648374384	5.39409368397235	4.51407245976583	70.9132822256673
0.025	63.426723246388	0.844305432149979	5.13942902073058	4.16617226737065	67.5928955137586
0.03	61.4168483975873	0.78093264488946	4.70598122077732	3.83408625961481	65.2509346572021
0.035	59.4718640599456	0.723499185639872	4.53219617652944	3.62162407926565	63.0934881392113
0.04	57.9731549234005	0.687984763365533	4.27602062053085	3.4303568530181	61.4035117764186
0.045	57.1367228201282	0.659317339090783	4.3615775568942	3.39155640321641	60.5282792233446
0.05	56.5508289446884	0.642956944915392	4.43532173378844	3.37740782948903	59.9282367741774
0.055	55.7241248416691	0.629668848113802	4.3660382517386	3.31611717331764	59.0402420149868
0.06	55.0943486892919	0.585015308592081	4.20600401126965	3.13724511926783	58.2315938085597
0.065	54.482143726819	0.564567773982892	4.04414603770063	3.02204866020809	57.5041923870271
0.07	53.9404210260227	0.54972506455901	4.00359645167178	2.96707082346444	56.9074918494872
0.075	53.0496403445972	0.523359742043802	3.98099375535336	2.88686117773593	55.9365015223332
0.08	52.8058533295714	0.509718655258538	3.92781334847007	2.8298973395434	55.6357506691148
0.085	52.8153500517775	0.50192088819679	3.95848825960097	2.81911187658488	55.6344619283624
0.09	52.709522104795	0.50266432853597	3.94902191975578	2.8178235939589	55.5273456987539
0.095	52.3731286727552	0.494943016302172	3.86967481835174	2.76786453910127	55.1409932118565
0.1	51.6840454299892	0.47855869322141	3.93985696581189	2.74623582457021	54.4302812545594
0.12	50.8985338362608	0.453824308575231	3.99397633642148	2.69262960641995	53.5911634426807
0.14	49.9014905880516	0.431057647946345	3.94482086046521	2.60802239383162	52.5095129818832
0.16	49.3168810604789	0.418163384831126	3.93895995502394	2.56681033775935	51.8836913982382
0.18	48.7191262662036	0.3961704901645	3.91703305851936	2.49143565582912	51.2105619220327
0.2	47.7089141548894	0.377867281380925	3.79338449091682	2.39449024622386	50.1034044011133
