n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]																		
1	OCTANE	dG (kJ/Mol)					322.942407	285.902974	303.1485897																		
1	HEPTANE	dG (kJ/Mol)					71.92416729	102.7490486	303.1499797																		
																											
																											
