Scale: Della Volpe
Method: DnG, Pol
Parameter: Peak Max
Regression: Polynomial
?l+  ?l- Options [mJ/m^2]
Solvent	?l+	?l-
DICHLOROMETHANE	124.58	0
ETHYL ACETATE	0	475.67
Analysis Results - ?ab  ?s  ?t [mJ/m^2]
n/nm	?d	?s+	?s-	?ab	?t
0.005	74.8623339430776	0.249822301459592	0.495128094307657	0.70340326993053	75.5657372130081
0.0075	70.7576717012432	0.201876431710162	0.284456221347568	0.479270307627765	71.236942008871
0.01	67.1565066865755	0.1572159335313	0.130124310467613	0.286060238028863	67.4425669246044
0.015	66.4823634377105	0.14521071590292	0.099801870474193	0.240767946870077	66.7231313845806
0.02	65.0977794872456	0.125990964605901	0.0556610442519765	0.167484789235062	65.2652642764807
0.025	65.9097826041017	0.129562079099118	0.0673936407240651	0.186886705897117	66.0966693099989
0.03	60.7879007550956	0.0813812184349447	0.000190699897706293	0.00787893140743271	60.7957796865031
0.035	60.8733827909855	0.0786232577716524	1.90572279711959E-05	0.0024481350838485	60.8758309260693
0.04	60.3614116054794	0.0713717829597157	0.00110659237700152	0.0177740789866849	60.3791856844661
0.045	63.3033728187404	0.0890582358094319	0.00665952907677544	0.0487067104575637	63.352079529198
0.05	63.5057642674992	0.0868948036846523	0.00586352590398806	0.0451446533856188	63.5509089208848
0.055	61.4690738707312	0.06729717872807	0.00120531213827865	0.018012674026124	61.4870865447573
0.06	62.0185819792872	0.0683405691762679	0.000506492712343442	0.0117667328082493	62.0303487120954
0.065	64.5725152001805	0.0850804782744667	0.0063257427849824	0.0463981560662731	64.6189133562468
0.07	64.8054690755705	0.172719485525859	0.00688666973662402	0.0689771572013867	64.8744462327719
0.075	64.4435305855669	0.0919229018394128	0.00305275761800028	0.0335033334973677	64.4770339190643
0.08	65.2252423725808	0.160062553124183	0.00590633063302666	0.0614941415329238	65.2867365141137
0.085	65.0315253038449	0.0872698495344283	0.00244893711530066	0.0292382197523423	65.0607635235972
0.09	64.5600333732819	0.159332625260229	0.000348218509219874	0.0148973244897473	64.5749306977716
0.095	65.0634234558737	0.235327923876174	0.000910779525959478	0.0292801540264371	65.0927036099002
0.1	65.9488437335838	0.170689779748046	0.00314966961339021	0.0463731134425406	65.9952168470263
0.12	68.7684753438224	0.11285714911875	0.705896395613549	0.564501389837603	69.33297673366
0.14	70.9546583923231	0.198740919376604	0.113290621987029	0.300103198053267	71.2547615903763
0.16	71.4801463904884	0.197246298779413	0.600308058554079	0.688210847567073	72.1683572380554
0.18	71.5304830645076	0.233618900588108	1.06835171787351	0.999173966376276	72.5296570308839
0.2	72.3605354003662	0.278598690344182	1.57754391922548	1.32589844235016	73.6864338427163
