?d Distribution
Sample:	02-4krpm-Sup-S1
Sample Mass (mg):	3
File:	15 03 2014 19-21-39.accdb
Method:	01-SURFACE-ENERGY-50C
Temperature (K):	323.15064886184
Method:	Schultz		Method:	Schultz		Method:	Dorris/Gray		Method:	Dorris/Gray
Parameter:	Peak Max		Parameter:	Peak Com		Parameter:	Peak Max		Parameter:	Peak Com
R^2:	0.334632425752902		R^2:	0.993183182818897		R^2:	0.318658703347114		R^2:	0.992876709942217
Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]
62.8482324058194	1.17085692660796E-10		185.601772201617	1.19493652264795		64.6890621693193	6.42223729128947E-11		194.301651424157	1.19301332155732
62.8587386395848	3.63635038921779E-10		167.947996439623	3.05163054728988		64.6989470839228	1.99710545988814E-10		175.657956017297	3.04713108337156
62.8696151029038	6.27415312127118E-10		152.919917438706	4.32958795562748		64.7091933662435	3.45019105493992E-10		159.785044749495	4.3237888423058
62.880874842309	9.09334752364815E-10		140.127007780024	5.15989026948763		64.7198142269799	5.00684995655857E-10		146.271129904972	5.15367587764439
62.8925313640804	1.21034421354551E-09		129.236824309122	5.64742925141422		64.7308233597808	6.67271294915616E-10		134.765622733427	5.64139047017503
62.9045986504462	1.53143903890188E-09		119.966369096502	5.87579774530387		64.7422349589002	8.45368409126977E-10		124.970038197231	5.87030850832278
62.9170911763549	1.87366101574464E-09		112.074735307335	5.91130501539536		64.7540637374985	1.0355953170793E-09		116.630251434673	5.90658124972893
62.9300239268383	2.23810041275378E-09		105.35684687209	5.80626882279072		64.7663249466125	1.23860087055541E-09		109.529905050245	5.80241355014133
62.943412414986	2.62589810316071E-09		99.638129273922	5.60171056012614		64.7790343948187	1.45506515126075E-09		103.484796198637	5.59874813077426
62.9572727005542	3.03824777738232E-09		94.7699729651611	5.32955818858149		64.7922084686154	1.68570088704158E-09		98.3380978477054	5.32746002357698
62.9716214092294	3.47639824875187E-09		90.6258715228863	5.01444376883837		64.8058641535505	1.93125492991249E-09		93.9562902465992	5.01314749888039
62.9864757525712	3.9416558561483E-09		87.0981341877153	4.6751674482009		64.8200190561208	2.19250979851989E-09		90.2256970499658	4.67459094595487
63.0018535486579	4.43538696754768E-09		84.0950873561377	4.3258873577222		64.8346914264725	2.4702852877666E-09		87.04953623559	4.32593884602133
63.0177732434599	4.95902058853373E-09		81.5386923029297	3.97708456617807		64.8499001819316	2.76544014848997E-09		84.3454093080332	3.97766973288856
63.0342539329658	5.51405108014967E-09		79.3625172265547	3.63634368149937		64.8656649313939	3.07887384008644E-09		82.0431636511884	3.63737053078156
63.0513153860882	6.10204099050367E-09		77.5100109180742	3.30898259203146		64.8820060006075	3.41152835924865E-09		80.0830725731967	3.31036460152791
63.0689780683773	6.72462400476205E-09		75.9330331922397	2.99855895530535		64.8989444583789	3.76439014799446E-09		78.414285829002	3.00021698148494
63.0872631665697	7.38350801841621E-09		74.5906038917866	2.70727616691254		64.9165021437373	4.13849208437054E-09		76.9935104227625	2.70913943995098
63.106192614002	8.0804783387749E-09		73.4478379559131	2.4363075064354		64.9347016940923	4.53491555925674E-09		75.7838874664458	2.43831397638502
63.1257891169204	8.81740101995983E-09		72.4750388790812	2.18605381932782		64.9535665744203	4.9547926430329E-09		74.7540359571765	2.18815005269595
63.1460761817175	9.59622633681014E-09		71.6469270022938	1.95634733494171		64.9731211075186	5.39930834573918E-09		73.8772386662474	1.95848811173175
63.1670781431284	1.0418992403345E-08		70.9419825828256	1.74661194304858		64.9933905053649	5.8697029748547E-09		73.1307490194767	1.74875966606702
63.1888201934209	1.12878289416759E-08		70.34188657108	1.55598837220893		65.0144009016238	6.36727459460624E-09		72.4952009874506	1.55811237077737
63.2113284126139	1.22049612074412E-08		69.831044562309	1.38343116493607		65.036179385341	6.89338159129802E-09		71.9541066765521	1.38550695228366
63.2346297997613	1.31727140781967E-08		69.3961815523616	1.22778307001132		65.0587540358702	7.4494453489176E-09		71.4934285868831	1.22979159612979
63.2587523053374	1.41935163112135E-08		69.0259969665726	1.08783142434321		65.0821539590755	8.03695303980662E-09		71.101215440253	1.08975835280935
63.2837248647643	1.52699049777937E-08		68.7108709971957	0.96235023619611		65.1064093248589	8.65746053518766E-09		70.7672921305944	0.964185263494268
63.3095774331206	1.64045300809449E-08		68.4426146181139	0.85013097589153		65.1315514060583	9.3125954405344E-09		70.4829957532512	0.851867204369669
63.336341021073	1.76001593641481E-08		68.2142567805785	0.750004502180645		65.157612618768	1.00040602610492E-08		70.2409508650009	0.751637872364092
63.3640477320741	1.88596833186831E-08		68.0198632599387	0.660856079984709		65.1846265641337	1.07336357027957E-08		70.0348781444281	0.662384864101141
63.3927308008713	2.01861203977417E-08		67.8543824458156	0.581635059543422		65.212628071675	1.15031841150095E-08		69.8594314887633	0.583059415408558
63.4224246333724	2.15826224455252E-08		67.7135140683475	0.511360472802794		65.2416532441912	1.23146530795895E-08		69.7100593210237	0.512682055403686
63.4531648479165	2.30524803501034E-08		67.5935974491571	0.449123547409226		65.2717395043095	1.31700791540143E-08		69.5828865093751	0.450345174370173
63.4849883179983	2.45991299290605E-08		67.491516373074	0.394087931413853		65.3029256427348	1.40715917738588E-08		69.4746138353733	0.395213297872743
63.517933216499	2.62261580572258E-08		67.4046181085577	0.345488254061139		65.335251868263	1.50214173218879E-08		69.3824324030096	0.34652169218142
