?d Distribution
Sample:	002-8mg-SE
Sample Mass (mg):	8
File:	10 03 2014 11-45-52.accdb
Method:	002-SURFACE-ENERGY-REDONE
Temperature (K):	323.148969736408
Method:	Schultz		Method:	Schultz		Method:	Dorris/Gray		Method:	Dorris/Gray
Parameter:	Peak Max		Parameter:	Peak Com		Parameter:	Peak Max		Parameter:	Peak Com
R^2:	0.925588776134026		R^2:	0.98569111328309		R^2:	0.925343675625671		R^2:	0.985821411467813
Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]
104.17700319568	0.565981684232434		102.961622995646	0.0537987507409654		108.622202811211	0.565581315616483		107.252638300756	0.0533800166072049
97.734648220441	1.52203541931651		100.816726397219	0.156145362654915		101.904040673533	1.52101928211772		105.026495221142	0.154950179272762
91.9597308045051	2.27391714273864		98.7416121823233	0.251775510509404		95.8816504532668	2.27248947498301		102.872497706733	0.24988083954645
86.7831034238255	2.85367032159119		96.7340100405599	0.341017892277646		90.4829739667698	2.85199215991758		100.78830764071	0.338495668627269
82.1427823407129	3.28889035421539		94.791723524145	0.424186927296816		85.6434157947047	3.2870870689578		98.7716626806978	0.421104331897943
77.9832054249117	3.60330229215302		92.9126276448522	0.501583337437364		81.3050703947935	3.60146994449447		96.820373803047	0.498003056783304
74.254566865517	3.81726659870612		91.0946665491365	0.573494705570145		77.4160292592678	3.81547729141588		94.9323229266938	0.569475178512295
70.9122208077263	3.94822165428846		89.3358512688968	0.640196012193448		73.9297598271198	3.94652802379915		93.1054606140312	0.635791664619345
67.9161467737114	4.01107068637997		87.6342575454147	0.701950151049786		70.8045487198098	4.00950966337465		91.3378038462892	0.697211618990091
65.230470466683	4.01851988994275		85.9880237240896	0.75900842453174		68.0030026387212	4.01711583779688		89.6274338710116	0.753982766226221
62.8230342203671	3.98137369875722		84.3953487176676	0.811611019645935		65.4916009525744	3.98014102375419		87.9724941192929	0.806341917075849
60.6650119505543	3.90879245699854		82.854490035734	0.859987465276091		63.2402946214894	3.90773777089862		86.3711881905131	0.854515415647901
58.7305639982421	3.80851711260828		81.3637618783156	0.90435707145791		61.2221466588035	3.80764101662572		84.8217779023849	0.898719569102398
56.9965277315406	3.68706499998619		79.9215332915047	0.944929351352576		59.4130098287522	3.68636354927784		83.322581404195	0.939161060482742
55.4421402016813	3.5499002906856		78.5262263830899	0.981904426579339		57.7912377236524	3.54936618987219		81.8719713511921	0.976037345331339
54.0487895322756	3.40158225959064		77.1763145962385	1.01547341654363		56.3374257636111	3.40120583243174		80.4683731381401	1.00953703270627
52.7997920650167	3.24589413377916		75.8703210393437	1.04581881237291		55.0341790198097	3.24566410375501		79.110263190119	1.03984025119326
51.6801925934173	3.0859549560171		74.6068168702093	1.0731148360496		53.8659040833589	3.08585906908837		77.7961673087176	1.06711900048547
50.6765852926302	2.92431659933267		73.3844197328022	1.09752778530892		52.8186224894235	2.92434211544279		76.5246590718239	1.09153748908214
49.7769532012054	2.76304780875119		72.2017922448655	1.11921636484703		51.8798034642309	2.76318188459127		75.2943582852753	1.11325245863639
48.9705243327757	2.60380691691669		71.0576405347347	1.13833200436609		51.0382139937699	2.60403689900978		74.103929484688	1.13241349546321
48.2476426947866	2.44790467836336		69.9507128257573	1.15501916396127		50.2837844202475	2.44821832255512		72.9520804858402	1.14916332969861
47.5996526698767	2.29635848940478		68.8797980667681	1.16941562733734		49.6074879581572	2.29674412031132		71.8375609820345	1.16363812258399
47.0187953755197	2.14993910415006		67.8437246071197	1.18165278332328		49.0012326883638	2.15038572594447		70.7591611869173	1.17596774233017
46.4981157609614	2.00921081951509		66.8413589148202	1.19185589613582		48.4577647379089	2.00970818758733		69.7157105212827	1.18627602900074
46.0313793290521	1.87456598105627		65.8716043363758	1.20014436482635		47.9705814870773	1.87510464250687		68.7060763424344	1.19468104883569
45.6129974858218	1.74625455505411		64.9333998969792	1.20663197232876		47.5338537652453	1.74682586464424		67.7291627147272	1.20129533842224
45.2379606239493	1.62440941877215		64.0257191397353	1.2114271245101		47.1423561045788	1.62500553581949		66.7839092199527	1.20622613910329
44.9017781388846	1.50906793869504		63.147569002649	1.2146330796114		46.791404217063	1.50968180944209		65.8692898062791	1.20957562200062
44.6004246593891	1.4001903344385		62.2979887321516	1.21634816845035		46.4767989467755	1.40081566361124		64.9843116744942	1.21144110401373
44.3302918486732	1.29767526274551		61.476048831973	1.21666600574458		46.1947760267872	1.29830647733422		64.1280142003439	1.21191525514429
44.0881451990062	1.2013730004706		60.6808500462127	1.21567569289998		45.94196103953	1.20200520819033		63.2994678917958	1.21108629748043
43.8710853024705	1.11109655678061		59.9115223754944	1.21346201259568		45.7153290417318	1.1117255011889		62.4977733800961	1.20903819616436
43.6765131341216	1.02663100214944		59.1672241251306	1.21010561548503		45.5121683708268	1.02725301599249		61.7220604435244	1.20585084265371
43.5020989318658	0.947741264361082		58.4471409842535	1.20568319931955		45.3300481997849	0.948353222388707		60.9714870627876	1.20160023057563
43.3457543004284	0.874178609030978		57.7504851349053	1.20026768079114		45.1667894521515	0.874777881239484		60.2452385070259	1.19635862446103
43.2056072053915	0.805685993541456		57.0764943901147	1.19392836037672		45.0204387292944	0.806270399575691		59.5425264494413	1.19019472163617
43.079979557888	0.742002458264788		56.4244313600137	1.18673108045919		44.8892449378971	0.742570223522197		58.8625881115854	1.18317380753739
