?d Distribution
Sample:	001-100mg-3mm
Sample Mass (mg):	100
File:	16 03 2014 23-54-45.accdb
Method:	02-SURFACE-ENERGY-REDONE
Temperature (K):	323.149933944211
Method:			Schultz		Method:	Schultz		Method:	Dorris/Gray		Method:	Dorris/Gray
Parameter:		Peak Max		Parameter:	Peak Com		Parameter:	Peak Max		Parameter:	Peak Com
R^2:	0.991837131741905		R^2:	0.990693014611337		R^2:	0.992021331743157		R^2:	0.990800880685337
Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]		Dispersive Surface Energy [mJ/m^2]	Area Increment [%]
65.5158354722733	0.15730035640244		72.8203667343004	0.121494471639077		68.29377255225	0.158061900602424		75.8649463733309	0.121936254841027
64.1644110725402	0.445801027818422		71.5605795663671	0.346736652109678		66.8812413676013	0.447896783697874		74.5503916723044	0.347965515908681
62.8877316459987	0.701907558498063		70.3621316614627	0.549756637273999		65.5470210989053	0.70510887781693		73.2999577049028	0.55165436153256
61.6816631759636	0.928320751958874		69.2220363998752	0.732184443282395		64.2867701786101	0.932424567544479		72.110516820008	0.734644432781414
60.542300291145		1.12754175197065		68.1374525809414	0.895544037632223		63.0963877362438	1.13236820489494		70.9790939256033	0.898470373705275
59.4659536196625	1.30188586645726		67.1056773425678	1.04125980188969		61.9720002541367	1.30727613089894		69.9028590473173	1.04456636356578
58.4491378424874	1.45349547300621		66.1241394255009	1.17066261648266		60.9099489629517	1.45930976344175		68.8791202499434	1.17427226638676
57.4885604076278	1.58435206528814		65.1903927655609	1.28499558904585		59.9067779360081	1.59046781179083		67.9053169042298	1.2888394196158
56.5811108685138	1.69628749593752		64.3021103978715	1.38541944660406		58.9592228436584	1.70259767441853		66.9790132820992	1.38943608247159
55.7238508120577	1.79099446792945		63.4570786578934	1.47301761074836		58.0642003311229	1.79740607313376		66.097892464278	1.4771525634044
54.9140043437762	1.87003632318924		62.6531916648105	1.54880097389264		57.2187979852192	1.87646897316851		65.2597505450958	1.55300604501001
54.1489490991643	1.93485617407921		61.888446073521	1.61371239368682		56.4202648573376	1.94124083570737		64.4624911199611	1.61794512371352
53.4262077522148	1.98678542050788		61.1609360821553	1.66863092171005		55.6660025118236	1.99306324638867		63.7041200417237	1.67285408056844
52.7434399935864	2.02705169268897		60.4688486826786	1.71437578166443		54.9535565706394	2.03317296053115		62.9827404328093	1.71855689860066
52.098434952447	2.05678625702853		59.8104591427421	1.75171011143816		54.280608726791	2.06270940323863		62.2965479406498	1.75582104126331
51.4891040374504	2.0770309202305		59.1841267075243	1.78134448260095		53.6449692005307	2.08272166009885		61.6438262245415	1.78536100574715
50.913474173667	2.08874446447125		58.5882905108501	1.80394021013446		53.0445696137906	2.0941749919062		61.022942662644	1.80784166412248
50.3696814135686	2.09280864439483		58.0214656853982	1.82011246448065		52.4774562596563	2.09795690469927		60.4323442683804	1.82388140455485
49.8559649013783	2.09003377471405		57.4822396623033	1.83043319731181		51.9417837449837	2.09488280439474		59.8705538060258	1.83405508415033
49.3706611712417	2.0811639353577		56.9692686509316	1.83543389178493		51.4358089854692	2.08570126342242		59.3361660957679	1.83889680433202
48.9121987607572	2.06688181937733		56.4812742900558	1.83560814743488		50.9578855336334	2.07109892500151		58.827844498997	1.83890251903601
48.479093122422	2.04781324720847		56.0170404620862	1.8314141092904		50.5064582212637	2.05170506904932		58.3443175750357	1.83453248543233
48.0699418165178	2.02453136936163		55.5754102624163	1.8232767502536		50.0800580988789	2.02809586216726		57.8843759009446	1.82621356632806
47.6834199698694	1.99756057820061		55.1552831163325	1.81159001527361		49.6772976557515	2.00079831269934		57.4468690464502	1.81434139289063
47.3182759857722	1.96738014813029		54.7556120363012	1.7967188353624		49.2968663049328	1.97029395050235		57.0307026964279	1.7992823958403
46.9733274911953	1.93442762227145		54.3754010127994	1.77900101904379		48.9375261185878	1.93702224979522		56.6348359137439	1.78137571279685
46.6474575081391	1.89910196252836		54.0137025321863	1.75874902839686		48.5981077997649	1.90138381226547		56.2582785356086	1.7609349790307
46.3396108367475	1.86176647886434		53.6696152154304	1.73625164644804		48.2775068774901	1.8637433264937		55.9000886969291	1.73825000845344
46.0487906384645	1.82275155256958		53.3422815718064	1.71177554228097		47.9746801128066	1.82443231871634		55.5593704744669	1.71358837129635
45.7740552081703	1.78235716735122		53.0308858619664	1.68556673987299		47.6886421040636	1.78375170896456		55.235271645908	1.68719687455483
45.5145149248457	1.74085526117107		52.7346520650576	1.65785199632148		47.4184620804082	1.74197418570736		54.926981558239	1.6593029509314
45.2693293708889	1.69849191091791		52.4528419448215	1.62884009480219		47.163260873047	1.699346411264		54.6337291000997	1.63011596168109
45.037704610759	1.65548936121067		52.1847532098554	1.5987230572956		46.9222080544207	1.65609106945273		54.3547807730389	1.59982841845413
44.8188906201327	1.61204790789214		51.9297177634509	1.56767728182884		46.6945192359841	1.61240876619029		54.089438856849	1.56861712893751
44.6121788572496	1.5683476460792		51.687100038648	1.53586460870879		46.4794535157968	1.56847979305245		53.8370396643923	1.53664427082377
44.4168999685828	1.52455009199205		51.456295414356	1.5034333199656		46.27631106762	1.52446576314945		53.5969518815514	1.50405839837138
44.2324216214049	1.48079968717555		51.2367287085935	1.47051907598199		46.0844308636744	1.48051112805382		53.3685749881532	1.47099538557902
44.0581464562303	1.43722519316289		51.027852745093	1.437245793057		45.9031885236481	1.43674458394052		53.1513377559165	1.43757930976159
