"SolventName","A0","A1","A2","A3","B0","B1","B2","B3","B4","B5","C0","C1","C2","C3"
"HEPTANE",0,145005.016009142,14555.5914766147,-22315.9193275223,0,0.505821274325518,-1.08897526667979e-05,1.62387959127527e-10,-8.5516194313512e-16,1.48834175385587e-21,0,3.09842411560522e-11,-1.55703321617517e-17,1.95683372045133e-22
"OCTANE",0,41843.6933911997,18918.0264878361,-12398.6642685357,0,1.45093671864754,-7.650600122154569e-05,3.09387932004911e-09,-4.35979292238535e-14,1.99945193862481e-19,0,3.39044629054156e-11,-2.17113432967768e-16,2.78053919723797e-21
