ID	Injection Name	Solvent	Injection Time [ms]	Duration [min]	Target Fractional Surface Coverage	Actual Fractional Surface Coverage	Column Temperature [Kelvin]	Column Pressure Drop [Torr]	Exit Flow Rate [sccm]	Peak Area [µV•min]	Peak Max (Signal) [µV]	Peak Max (Time) [min]	Peak Com [min]	Peak Com/Max	Ret Volume (Max) [ml/g]	Ret Volume (Com) [ml/g]	Net Ret Time (Max) [min]	Net Ret Volume (Max) [ml/g]	Net Ret Time (Com) [min]	Net Ret Volume (Com) [ml/g]	Partial Pressure [Torr]	Pres Ret Volume (Max) [mMol/(g•Torr)]	Pres Ret Volume (Com) [mMol/(g•Torr)]	Amount  [mMol/g]	Amount  [mMol]	Amount (Max) [mMol/g]	Amount (Com) [mMol/g]
1	colConditioning1	n/a	0	120	n/a	0	392.665850067139	21.2737846374512	10.0125002861023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	methaneInjection1	Methane	3000	3	n/a	0	302.609899902344	20.1149597167969	10.0075001716614	9017.57223835674	115128.02100441	0.443183333333333	0.447996079223496	1.01085949206159	484.905051049033	490.170873601526	0	0	0	0	0	0	0	0	0	0	0
3	methaneInjection2	Methane	3000	3	n/a	0	302.330765151978	18.7558441162109	10	9052.37654159024	112223.641377074	0.4515	0.457493913529076	1.01327555598909	493.618307110799	500.17136458409	0	0	0	0	0	0	0	0	0	0	0
4	injection1	OCTANE	11928	5	0.35	0.263641439990605	303.148755455017	18.4983253479004	10.0050001144409	10019.1396092085	52903.0398797958	0.6798	0.926056297934135	1.36224815818496	745.724609282911	1015.86197550884	0.2320125	254.512254944472	0.472674074221976	518.512340861056	2.883109941451	0.0134622901402099	0.0274264340452836	0.0320695550372814	0.000320695550372814	0.0388132625379369	0.0790734246545072
5	injection2	OCTANE	13390	5	0.4	0.321986238773883	303.143945121765	19.3137950897217	10.0050001144409	12377.6283217232	73524.5403495724	0.696433	0.827339925029107	1.18796772270858	763.55050739818	907.073357446799	0.2486455	272.608273426553	0.373957701316948	409.997218089914	3.96122508422075	0.0144196982079026	0.021686928560989	0.0391666628962968	0.000391666628962968	0.0543593575300467	0.102454430736275
6	injection3	OCTANE	14975	5	0.45	0.373201048991844	303.130860710144	19.8288345336914	9.98750019073486	14483.6974313998	88183.6002118204	0.721433	0.803472138070008	1.11371691906249	789.275982649931	879.030015686899	0.2736455	299.378904084277	0.35008991435785	383.01209006328	4.71420933806859	0.015836422462295	0.0202604164276759	0.0453964732594451	0.000453964732594451	0.066283934281437	0.117710205282715
7	injection4	OCTANE	16727	5	0.5	0.412248396217702	303.140170478821	20.2151041030884	9.98000001907349	16109.4372244335	99535.8042342407	0.741417	0.756153793858324	1.01987652543484	810.350008052492	826.456950598671	0.2936295	320.929608694499	0.302771570146165	330.921659883723	5.28861339323876	0.0169758814305784	0.0175044206231027	0.0501462237196312	0.000501462237196312	0.0760349494152493	0.12776481547203
8	injection5	OCTANE	18673	5	0.55	0.446012605539033	303.14214553833	20.5155448913574	9.98999977111816	17527.5217312604	105624.114981957	0.754767	0.752409017874681	0.996875880734957	825.610726247381	823.031419872085	0.3069795	335.793122828711	0.299026794162523	327.093962369773	5.57492014056775	0.0177619856325065	0.0173018381411437	0.0542533290713516	0.000542533290713516	0.0811203257477965	0.132718448473033
9	injection6	OCTANE	20830	5	0.6	0.477260103561469	303.145084762573	20.6729145050049	10.0075001716614	18848.8000739537	110066.137910529	0.7614	0.750493100748305	0.985675204555168	834.247438043693	822.297014143341	0.3136125	343.617579016913	0.297110877036146	325.537152590386	5.77050699271833	0.0181756888696473	0.0172193227655053	0.0580542996533799	0.000580542996533799	0.084675251519479	0.136086321608903
10	injection7	OCTANE	23202	5	0.65	0.513833802734956	303.144955062866	20.5584650039673	9.95749998092651	20404.5086531728	114382.158723704	0.773083	0.749585170162843	0.969605036151155	842.878937577044	817.259662740437	0.3252955	354.664021118811	0.296202946450684	322.944916408126	5.99403025956919	0.0187599996413789	0.0170822134618838	0.0625031535915275	0.000625031535915275	0.088868547925441	0.139904593766947
11	injection8	OCTANE	25781	5	0.7	0.556287136287154	303.14610042572	20.644305229187	9.96750020980835	22220.2009906372	118150.363631407	0.783067	0.759624467322641	0.970063184022109	854.576939893542	828.993627305	0.3352795	365.897335884461	0.306242243610482	334.208387546377	6.14913843362479	0.0193541141655807	0.0176779294444213	0.0676672109450179	0.000676672109450179	0.091870529234128	0.142646585124155
12	injection9	OCTANE	28547	5	0.75	0.591876384743809	303.147184753418	20.8732051849365	9.9850001335144	23748.1714188075	121541.285127017	0.794717	0.749576691958695	0.94319951877045	868.686422495041	819.344615659746	0.3469295	379.220459878162	0.296194468246537	323.76319241177	6.28624080283778	0.0200587681352746	0.017125370317336	0.0719963155127855	0.000719963155127855	0.0946206338689682	0.144994513968312
13	injection10	OCTANE	31472	5	0.8	0.636018980101952	303.147574806213	20.9161252975464	9.99249982833862	25647.4984764928	124854.047611071	0.806417	0.754456590930964	0.935566327261161	882.113834675658	825.276000533764	0.3586295	392.293371137779	0.301074367218805	329.335647177487	6.42048694043762	0.0207502296960218	0.0174201014567252	0.0773658560196834	0.000773658560196834	0.0974062720599686	0.147333095305475
14	injection11	OCTANE	34520	3	0.85	0.66735984250012	303.147769355774	20.7301397323608	9.97250032424927	26996.7332189508	127553.24948743	0.814717	0.740724356367443	0.909179943916039	889.518148458771	808.732060328044	0.3669295	400.618189450942	0.287342132655285	313.723712422502	6.55165092312792	0.021190554641447	0.0165943026189546	0.0811781835188418	0.000811781835188418	0.100185709602157	0.149509670126945
15	injection12	OCTANE	37651	3	0.9	0.727895344255424	303.145245933533	21.0591897964478	10.0075001716614	29598.5990066795	131131.986340284	0.826383	0.747550149692595	0.904604946728811	905.219233479412	818.865796479539	0.3785955	414.713187842387	0.294167925980437	322.231295259268	6.67721325634219	0.0219362870968849	0.0170444500238435	0.0885417702346493	0.000885417702346492	0.1029400809921	0.151649811040292
16	injection13	OCTANE	40819	3	0.95	0.775423539012383	303.145084762573	21.202260017395	10.0075001716614	31632.0062663378	133564.511965481	0.8364	0.749489275651738	0.896089521343541	916.105542658387	820.912577220919	0.3886125	425.645702052048	0.296107051939579	324.324858323868	6.77941382488942	0.0225145752767783	0.0171551983296435	0.094323137752727	0.00094323137752727	0.105241083385986	0.153403082063123
17	methaneInjection3	Methane	3000	3	n/a	0	303.148449325562	20.8016748428345	9.98749971389771	9415.01936077896	117771.924189319	0.448183333333333	0.454815816902804	1.01479859485212	490.046272085743	497.298268325131	0	0	0	0	0	0	0	0	0	0	0
18	methaneInjection4	Methane	3000	3	n/a	0	303.150070571899	21.1450300216675	9.98250007629395	9397.6652509572	117609.032722334	0.448283333333333	0.453223085193257	1.01101926280237	489.802740445072	495.200005563359	0	0	0	0	0	0	0	0	0	0	0
