n/nm	Solvent Name	Unit	En. (Stz Max)	En. (Stz Com)	En. (Pol Max)	En. (Pol Com)	Interpolated Retention Volume (Max)	Interpolated Retention Volume (Com)	Column Temperature [Kelvin]
0.09	HEXANE	dG (kJ/Mol)					38.4075000225731	64.5554817743468	323.14897802793
0.09	DICHLOROMETHANE	dG (kJ/Mol)	4.3830814451297	4.23356154281089	4.6878271792215	4.5870277002501	11.5062298369922	13.9262333352567	323.148110198974
0.09	ETHYL ACETATE	dG (kJ/Mol)	5.54897459913323	6.44924567916816	4.32578501927676	5.10782211184026	35.9177729507072	69.2455542293774	323.148074824993
0.095	NONANE	dG (kJ/Mol)					799.952512867775	1714.74360116341	323.148880973229
0.095	OCTANE	dG (kJ/Mol)					279.237191979416	649.235805535525	323.15044969412
0.095	HEPTANE	dG (kJ/Mol)					105.090290796575	195.435862396179	323.149291640061
0.095	HEXANE	dG (kJ/Mol)					37.287943194743	63.6870732844486	323.14897802793
0.095	DICHLOROMETHANE	dG (kJ/Mol)	4.35299474166027	4.22084905582108	4.65934012080717	4.570400406642	10.8817939018553	14.0852850535277	323.148110198974
0.095	ETHYL ACETATE	dG (kJ/Mol)	5.5673213426448	6.3373886805812	4.33563326460397	5.00966566069998	34.7498187094637	66.9569327572088	323.148074824993
0.1	NONANE	dG (kJ/Mol)					793.955436011703	1631.05098888187	323.148880973229
0.1	OCTANE	dG (kJ/Mol)					275.866777385319	620.198813180174	323.15044969412
0.1	HEPTANE	dG (kJ/Mol)					103.727388822085	189.486919738124	323.149291640061
0.1	HEXANE	dG (kJ/Mol)					38.8425320145532	63.0804775246614	323.14897802793
0.1	DICHLOROMETHANE	dG (kJ/Mol)	4.02104309316743	4.18534686897972	4.32386033351943	4.53041075061328	10.2573579667183	14.2443367717987	323.148110198974
0.1	ETHYL ACETATE	dG (kJ/Mol)	5.15944840351924	6.22679168052339	3.94590998293278	4.91523757845344	31.522975415833	65.2259313432115	323.148074824993
0.12	NONANE	dG (kJ/Mol)					812.288834027216	1474.39227240569	323.148880973229
0.12	OCTANE	dG (kJ/Mol)					276.913772909558	523.624720110775	323.15044969412
0.12	HEPTANE	dG (kJ/Mol)					98.8379236907349	167.936630886212	323.149291640061
0.12	HEXANE	dG (kJ/Mol)					38.8108446998136	59.962768832397	323.14897802793
0.12	DICHLOROMETHANE	dG (kJ/Mol)	4.43356992476242	4.23668572206211	4.74342547979312	4.57108978320404	11.2942495374751	14.1412379162769	323.148110198974
0.12	ETHYL ACETATE	dG (kJ/Mol)	5.29156977820384	6.09597153748344	4.06596873953597	4.80462943489688	31.5321331657893	59.6915387181794	323.148074824993
0.14	NONANE	dG (kJ/Mol)					856.820048150986	1311.73962096893	323.148880973229
0.14	OCTANE	dG (kJ/Mol)					284.119567252092	461.498318027124	323.15044969412
0.14	HEPTANE	dG (kJ/Mol)					96.3595704232742	154.880626401343	323.149291640061
0.14	HEXANE	dG (kJ/Mol)					36.1312624736105	55.8357312352847	323.14897802793
0.14	DICHLOROMETHANE	dG (kJ/Mol)	5.12232144396536	4.22207791927748	5.44626815501248	4.54791496089529	12.1016206571912	13.7630579555282	323.148110198974
0.14	ETHYL ACETATE	dG (kJ/Mol)	5.7150265209408	5.99057846943014	4.4389520323521	4.71867369898042	31.5290529818799	55.4675847254372	323.148074824993
0.16	NONANE	dG (kJ/Mol)					911.498263337427	1191.87466507275	323.148880973229
0.16	OCTANE	dG (kJ/Mol)					295.74853381191	422.859113345815	323.15044969412
0.16	HEPTANE	dG (kJ/Mol)					94.7169283830781	143.801011373095	323.149291640061
0.16	HEXANE	dG (kJ/Mol)					34.1344432405086	51.4222974844717	323.14897802793
0.16	DICHLOROMETHANE	dG (kJ/Mol)	5.31681070231182	4.23086131905669	5.65522834938857	4.55445210241045	10.9737201756365	12.9766369344691	323.148110198974
0.16	ETHYL ACETATE	dG (kJ/Mol)	5.99937985372343	6.01634590720764	4.67496648459095	4.75040303536236	30.4232033561337	52.4354750380434	323.148074824993
0.18	NONANE	dG (kJ/Mol)					963.437060778796	1122.35351717847	323.148880973229
0.18	OCTANE	dG (kJ/Mol)					308.484617043618	390.696010882766	323.15044969412
0.18	HEPTANE	dG (kJ/Mol)					94.7413470925933	136.107807153138	323.149291640061
0.18	HEXANE	dG (kJ/Mol)					30.2314578894384	48.436154597342	323.14897802793
0.18	DICHLOROMETHANE	dG (kJ/Mol)	5.65439835427711	4.30139457750584	6.0100109116479	4.62184008879763	9.66739965198301	12.6251968787647	323.148110198974
0.18	ETHYL ACETATE	dG (kJ/Mol)	6.41944126946456	6.0028046303187	5.02569065472463	4.73785766341314	28.7621273371229	49.3654018775203	323.148074824993
0.2	NONANE	dG (kJ/Mol)					1015.37585822016	1052.83236928418	323.148880973229
0.2	OCTANE	dG (kJ/Mol)					321.220700275325	358.532908419716	323.15044969412
0.2	HEPTANE	dG (kJ/Mol)					94.6793545264361	131.687556270359	323.149291640061
0.2	HEXANE	dG (kJ/Mol)					30.552279168592	47.0796838773532	323.14897802793
0.2	DICHLOROMETHANE	dG (kJ/Mol)	5.78646166500024	4.43832812147733	6.14939576652721	4.74980446240654	9.70519365560352	13.4754885478798	323.148110198974
0.2	ETHYL ACETATE	dG (kJ/Mol)	6.35718273220071	5.83612343223628	4.9451644630351	4.58696285691382	27.1703108226435	46.5522152714981	323.148074824993


