"sea_time","fid_signal"
0,1163.63171386719
0.00166666666666667,1165.71789550781
0.00333333333333333,1166.31384277344
0.005,1166.31384277344
0.00666666666666667,1167.7294921875
0.00833333333333333,1167.05895996094
0.01,1167.05895996094
0.0116666666666667,1165.04724121094
0.0133333333333333,1162.58862304688
0.015,1161.47106933594
0.0166666666666667,1161.47106933594
0.0183333333333333,1164.82373046875
0.02,1167.80395507813
0.0216666666666667,1167.2080078125
0.0233333333333333,1167.2080078125
0.025,1169.14514160156
0.0266666666666667,1164.6748046875
0.0283333333333333,1161.02392578125
0.03,1161.02392578125
0.0316666666666667,1162.58862304688
0.0333166666666667,1161.76904296875
0.0349833333333333,1161.76904296875
0.03665,1163.33361816406
0.0383166666666667,1163.55712890625
0.0399833333333333,1162.81213378906
0.04165,1162.81213378906
0.0433166666666667,1164.15319824219
0.0449833333333333,1166.98449707031
0.04665,1170.2626953125
0.0483166666666667,1170.2626953125
0.0499833333333333,1172.64685058594
0.05165,1170.56066894531
0.0533166666666667,1168.02746582031
0.0549833333333333,1168.02746582031
0.05665,1164.60021972656
0.0583166666666667,1162.6630859375
0.06,1164.45129394531
0.06165,1164.45129394531
0.0633166666666667,1166.53735351563
0.0649833333333333,1167.05895996094
0.06665,1167.05895996094
0.06831666666666671,1169.7412109375
0.0699833333333333,1170.03918457031
0.07165000000000001,1169.36865234375
0.0733166666666667,1169.36865234375
0.0749833333333333,1169.96472167969
0.07665,1168.32556152344
0.0783166666666667,1165.56884765625
0.0799833333333333,1165.56884765625
0.08169999999999999,1166.09033203125
0.08331666666666671,1165.71789550781
0.0849833333333333,1166.23937988281
0.0866333333333333,1166.23937988281
0.0883166666666667,1169.59216308594
0.08996666666666669,1168.2509765625
0.09161666666666669,1168.2509765625
0.0932833333333333,1171.30578613281
0.09495000000000001,1169.7412109375
0.09663333333333329,1167.80395507813
0.0984,1167.80395507813
0.09995,1168.17651367188
0.101616666666667,1165.27075195313
0.103283333333333,1167.7294921875
0.10495,1167.7294921875
0.106616666666667,1170.11364746094
0.108283333333333,1172.34887695313
0.10995,1175.3291015625
0.111616666666667,1175.3291015625
0.113283333333333,1170.7841796875
0.11505,1168.474609375
0.116616666666667,1168.474609375
0.118283333333333,1162.88659667969
0.11995,1159.83190917969
0.121616666666667,1163.25915527344
0.123283333333333,1163.25915527344
0.12495,1164.22778320313
0.126616666666667,1167.35693359375
0.128283333333333,1166.83544921875
0.12995,1166.83544921875
0.131616666666667,1165.71789550781
0.133283333333333,1163.18469238281
0.13495,1161.69458007813
0.136616666666667,1161.69458007813
0.138283333333333,1161.69458007813
0.13995,1162.43957519531
0.141616666666667,1162.29052734375
0.143283333333333,1162.29052734375
0.14495,1163.11010742188
0.146616666666667,1162.6630859375
0.148283333333333,1162.6630859375
0.14995,1160.1298828125
0.1516,1159.53381347656
0.153266666666667,1162.43957519531
0.154933333333333,1162.43957519531
0.1566,1162.36511230469
0.158266666666667,1163.33361816406
0.159933333333333,1166.68640136719
0.1616,1166.68640136719
0.163266666666667,1167.35693359375
0.164933333333333,1170.03918457031
0.1666,1170.33715820313
0.1683,1170.33715820313
0.17,1169.89013671875
0.1716,1167.58044433594
0.173266666666667,1167.58044433594
0.174933333333333,1167.58044433594
0.1766,1170.48620605469
0.178266666666667,1169.07055664063
0.179933333333333,1169.07055664063
0.1816,1168.17651367188
0.183266666666667,1165.41979980469
0.184933333333333,1162.6630859375
0.1866,1162.6630859375
0.188266666666667,1163.03564453125
0.189933333333333,1165.41979980469
0.1916,1167.13342285156
0.193266666666667,1167.13342285156
0.194933333333333,1167.2080078125
0.1966,1169.14514160156
0.198266666666667,1167.28247070313
0.199933333333333,1167.28247070313
0.2016,1168.99609375
0.203266666666667,1171.82727050781
0.204933333333333,1171.82727050781
0.2066,1170.41174316406
0.208266666666667,1171.15673828125
0.209933333333333,1167.87854003906
0.211583333333333,1167.87854003906
0.21325,1164.45129394531
0.214916666666667,1162.1416015625
0.21665,1160.875
0.21825,1160.875
0.219916666666667,1160.72595214844
0.221583333333333,1162.21606445313
0.22325,1163.63171386719
0.224916666666667,1163.63171386719
0.226583333333333,1162.81213378906
0.22825,1164.00415039063
0.229916666666667,1164.00415039063
0.231583333333333,1162.06701660156
0.23335,1164.30224609375
0.234933333333333,1166.76086425781
0.236583333333333,1166.76086425781
0.23825,1168.474609375
0.239916666666667,1168.69812011719
0.2416,1166.53735351563
0.24325,1166.53735351563
0.24495,1168.17651367188
0.246583333333333,1165.86682128906
0.24825,1164.15319824219
0.250033333333333,1164.15319824219
0.251583333333333,1163.63171386719
0.25325,1160.1298828125
0.254916666666667,1160.65148925781
0.256583333333333,1160.65148925781
0.25825,1163.63171386719
0.259916666666667,1163.85522460938
0.261583333333333,1163.85522460938
0.26325,1162.58862304688
0.264916666666667,1158.71435546875
0.266583333333333,1157.37316894531
0.26825,1157.37316894531
0.269916666666667,1159.16137695313
0.271566666666667,1161.69458007813
0.273233333333333,1168.32556152344
0.2749,1168.32556152344
0.276566666666667,1171.15673828125
0.278233333333333,1169.7412109375
0.2799,1170.63525390625
0.281566666666667,1170.63525390625
0.283233333333333,1169.21960449219
0.2849,1166.68640136719
0.286566666666667,1166.68640136719
0.288233333333333,1168.84704589844
0.2899,1170.85876464844
0.291566666666667,1172.12536621094
0.293233333333333,1172.12536621094
0.2949,1172.19982910156
0.296566666666667,1170.63525390625
0.298233333333333,1173.01940917969
0.2999,1173.01940917969
0.301566666666667,1175.47814941406
0.303233333333333,1180.9169921875
0.3049,1189.85766601563
